"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1100006103516","","","95.1100006103516","","","94.7399978637695","","","","","","","93.3300018310547","","","94.7900009155273","96.120002746582","","","","","",
"Afghanistan","AFG","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7900009155273","","34.3300018310547","32.689998626709","35.9099998474121","37.810001373291","38.2900009155273","",
"Andorra","AND","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0899963378906","","","","","86.0899963378906","","","","","92.4199981689453","","","92.5299987792969","","","","","","","","",
"Argentina","ARG","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.2200012207031","80.75","83.1399993896484","85.1800003051758","84.3600006103516","87.2799987792969","88.0199966430664","89.0500030517578","88.8399963378906","89.2200012207031","88.9499969482422","89.7399978637695","87.120002746582","87.1699981689453","88.0500030517578","88.4899978637695","","88.8099975585938","89.7399978637695","89.9800033569336","87.9800033569336","89.4899978637695","89.9400024414063","90.75","","",
"Armenia","ARM","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.0800018310547","46.5800018310547","44.9599990844727","43.7999992370605","44.4900016784668","48.3199996948242","43.0900001525879","48.8400001525879","46.9199981689453","49.6399993896484","48.3699989318848","48.8199996948242","","52.3600006103516","",
"American Samoa","ASM","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9400005340576","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.7699966430664","93.7600021362305","93.7600021362305","93.7699966430664","93.7699966430664","93.7600021362305","93.7699966430664","93.7600021362305","","","","","","","","",
"Australia","AUS","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","73.4599990844727","74.0599975585938","73.370002746582","75.629997253418","75.1800003051758","76.0599975585938","77.629997253418","77.6100006103516","78.2399978637695","78.9300003051758","79.0400009155273","79.4400024414063","78.620002746582","79.9400024414063","80.4300003051758","80.8899993896484","81.5400009155273","81.620002746582","82.2200012207031","82.2200012207031","82.9000015258789","83.3199996948242","84.0100021362305","84.4300003051758","84.2399978637695","84.5500030517578","85.1100006103516","85.4800033569336","85.5299987792969","85.9199981689453","86.1399993896484","85.8899993896484","86.7799987792969","87.1900024414063","87.6999969482422","87.6100006103516","88","88.2699966430664","88.629997253418","88.5400009155273","88.6600036621094","88.8099975585938","89.2300033569336","89.4599990844727","89.7699966430664","90.0100021362305","90.6800003051758","90.4400024414063",
"Austria","AUT","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","65.620002746582","66.8300018310547","67.5","68.1600036621094","68.370002746582","69.3399963378906","70.1500015258789","70.2399978637695","70.3600006103516","71.620002746582","73.0400009155273","74.8499984741211","74.2600021362305","75.8000030517578","77.620002746582","78.4800033569336","78.9700012207031","79.370002746582","79.8300018310547","80.8199996948242","81.0800018310547","81.6500015258789","81.7699966430664","81.2600021362305","81.370002746582","82.4700012207031","83.3399963378906","83.4899978637695","82.8399963378906","83.0500030517578","82.7600021362305","82.6900024414063","83.6100006103516","",
